locationWhereValue;standardPostcode
Alice Springs & Central Australia NT;872
All Brisbane QLD;4000
All Darwin NT;800
All Melbourne VIC;3000
All Perth WA;6000
All Sydney NSW;2000
Katherine & Northern Australia NT;850
Adelaide Hills & Barossa SA;5131
Albany & Great Southern WA;6316
Albury Wodonga & Murray NSW;2640
All Adelaide SA;5000
All Canberra ACT;2600
All Gold Coast QLD;4207
All Hobart TAS;7000
Bairnsdale & Gippsland VIC;3847
Ballarat & Central Highlands VIC;3321
Bayside & Eastern Suburbs Brisbane QLD;4157
Bayside & South Eastern Suburbs Melbourne VIC;3145
Bendigo, Goldfields & Macedon Ranges VIC;3334
Blue Mountains & Central West NSW;2773
Brisbane CBD & Inner Suburbs Brisbane QLD;4000
Broome & Kimberley WA;6725
Bunbury & South West WA;6218
Bundaberg & Wide Bay Burnett QLD;4621
Cairns & Far North QLD;4849
Central & South East TAS;7027
Coffs Harbour & North Coast NSW;2441
Coober Pedy & Outback SA;5440
Devonport & North West TAS;7256
Dubbo & Central NSW;2357
Eastern Suburbs Melbourne VIC;3101
Eastern Suburbs Perth WA;6051
Far West & North Central NSW;2386
Fleurieu Peninsula & Kangaroo Island SA;5157
Fremantle & Southern Suburbs Perth WA;6102
Geelong & Great Ocean Road VIC;3212
Geraldton, Gascoyne & Midwest WA;6513
Gladstone & Central QLD;4420
Gosford & Central Coast NSW;2083
Goulburn & Southern Tablelands NSW;2575
Hervey Bay & Fraser Coast QLD;4570
Horsham & Grampians VIC;3293
Kalgoorlie, Goldfields & Esperance WA;6429
Launceston & North East TAS;7190
Lismore & Far North Coast NSW;2469
Mackay & Coalfields QLD;4705
Mandurah & Peel WA;6121
Melbourne CBD & Inner Suburbs Melbourne VIC;3000
Mildura & Murray VIC;3490
Mornington Peninsula & Bass Coast VIC;3911
Mt Gambier & Limestone Coast SA;5259
Mt Isa & Western QLD;4417
Newcastle, Maitland & Hunter NSW;2264
North Shore & Northern Beaches Sydney NSW;2060
North West & Hills District Sydney NSW;2077
Northam & Wheatbelt WA;6041
Northern Suburbs & Joondalup Perth WA;6017
Northern Suburbs Brisbane QLD;4019
Northern Suburbs Melbourne VIC;3043
Parramatta & Western Suburbs Sydney NSW;2116
Perth CBD, Inner & Western Suburbs Perth WA;6000
Port Hedland, Karratha & Pilbara WA;6710
Port Macquarie & Mid North Coast NSW;2424
Richmond & Hawkesbury NSW;2753
Riverland & Murray Mallee SA;5236
Rockhampton & Capricorn Coast QLD;4699
Rockingham & Kwinana Perth WA;6165
Ryde & Macquarie Park Sydney NSW;2112
Shepparton & Goulburn Valley VIC;3558
Somerset & Lockyer QLD;4311
South West & M5 Corridor Sydney NSW;2162
Southern Suburbs & Logan Brisbane QLD;4114
Southern Suburbs & Sutherland Shire Sydney NSW;2133
Sunshine Coast QLD;4517
Sydney CBD, Inner West & Eastern Suburbs Sydney NSW;2000
Tamworth & North West NSW;2338
Toowoomba & Darling Downs QLD;4350
Townsville & Northern QLD;4800
Traralgon & La Trobe Valley VIC;3781
Tumut, Southern Highlands & Snowy NSW;2621
Wagga Wagga & Riverina NSW;2590
Western Suburbs & Ipswich Brisbane QLD;4300
Western Suburbs Melbourne VIC;3011
Whyalla & Eyre Peninsula SA;5600
Wollongong, Illawarra & South Coast NSW;2500
Yarra Valley & High Country VIC;3116
Yorke Peninsula & Clare Valley SA;5374
