code;city
5131;Adelaide Hills & Barossa SA
5132;Adelaide Hills & Barossa SA
5133;Adelaide Hills & Barossa SA
5134;Adelaide Hills & Barossa SA
5136;Adelaide Hills & Barossa SA
5137;Adelaide Hills & Barossa SA
5138;Adelaide Hills & Barossa SA
5139;Adelaide Hills & Barossa SA
5140;Adelaide Hills & Barossa SA
5141;Adelaide Hills & Barossa SA
5142;Adelaide Hills & Barossa SA
5144;Adelaide Hills & Barossa SA
5150;Adelaide Hills & Barossa SA
5151;Adelaide Hills & Barossa SA
5152;Adelaide Hills & Barossa SA
5153;Adelaide Hills & Barossa SA
5154;Adelaide Hills & Barossa SA
5155;Adelaide Hills & Barossa SA
5156;Adelaide Hills & Barossa SA
5231;Adelaide Hills & Barossa SA
5233;Adelaide Hills & Barossa SA
5232;Adelaide Hills & Barossa SA
5234;Adelaide Hills & Barossa SA
5235;Adelaide Hills & Barossa SA
5240;Adelaide Hills & Barossa SA
5241;Adelaide Hills & Barossa SA
5242;Adelaide Hills & Barossa SA
5243;Adelaide Hills & Barossa SA
5244;Adelaide Hills & Barossa SA
5245;Adelaide Hills & Barossa SA
5250;Adelaide Hills & Barossa SA
5251;Adelaide Hills & Barossa SA
5252;Adelaide Hills & Barossa SA
5254;Adelaide Hills & Barossa SA
5350;Adelaide Hills & Barossa SA
5351;Adelaide Hills & Barossa SA
5352;Adelaide Hills & Barossa SA
5353;Adelaide Hills & Barossa SA
5355;Adelaide Hills & Barossa SA
5360;Adelaide Hills & Barossa SA
5371;Adelaide Hills & Barossa SA
5372;Adelaide Hills & Barossa SA
5373;Adelaide Hills & Barossa SA
5400;Adelaide Hills & Barossa SA
5410;Adelaide Hills & Barossa SA
6316;Albany & Great Southern WA
6317;Albany & Great Southern WA
6318;Albany & Great Southern WA
6320;Albany & Great Southern WA
6321;Albany & Great Southern WA
6323;Albany & Great Southern WA
6322;Albany & Great Southern WA
6324;Albany & Great Southern WA
6327;Albany & Great Southern WA
6326;Albany & Great Southern WA
6328;Albany & Great Southern WA
6330;Albany & Great Southern WA
6333;Albany & Great Southern WA
6335;Albany & Great Southern WA
6336;Albany & Great Southern WA
6337;Albany & Great Southern WA
6338;Albany & Great Southern WA
6341;Albany & Great Southern WA
6346;Albany & Great Southern WA
6348;Albany & Great Southern WA
6394;Albany & Great Southern WA
6395;Albany & Great Southern WA
6396;Albany & Great Southern WA
6397;Albany & Great Southern WA
2640;Albury Wodonga & Murray NSW
2641;Albury Wodonga & Murray NSW
2731;Albury Wodonga & Murray NSW
2732;Albury Wodonga & Murray NSW
2733;Albury Wodonga & Murray NSW
2734;Albury Wodonga & Murray NSW
2735;Albury Wodonga & Murray NSW
2736;Albury Wodonga & Murray NSW
5000;All Adelaide SA
5006;All Adelaide SA
5007;All Adelaide SA
5008;All Adelaide SA
5009;All Adelaide SA
5010;All Adelaide SA
5011;All Adelaide SA
5012;All Adelaide SA
5013;All Adelaide SA
5014;All Adelaide SA
5015;All Adelaide SA
5016;All Adelaide SA
5017;All Adelaide SA
5018;All Adelaide SA
5019;All Adelaide SA
5020;All Adelaide SA
5022;All Adelaide SA
5021;All Adelaide SA
5023;All Adelaide SA
5024;All Adelaide SA
5025;All Adelaide SA
5031;All Adelaide SA
5032;All Adelaide SA
5033;All Adelaide SA
5034;All Adelaide SA
5035;All Adelaide SA
5037;All Adelaide SA
5038;All Adelaide SA
5039;All Adelaide SA
5040;All Adelaide SA
5041;All Adelaide SA
5042;All Adelaide SA
5043;All Adelaide SA
5044;All Adelaide SA
5045;All Adelaide SA
5046;All Adelaide SA
5047;All Adelaide SA
5048;All Adelaide SA
5049;All Adelaide SA
5050;All Adelaide SA
5051;All Adelaide SA
5052;All Adelaide SA
5061;All Adelaide SA
5062;All Adelaide SA
5063;All Adelaide SA
5064;All Adelaide SA
5065;All Adelaide SA
5066;All Adelaide SA
5067;All Adelaide SA
5068;All Adelaide SA
5069;All Adelaide SA
5070;All Adelaide SA
5072;All Adelaide SA
5073;All Adelaide SA
5074;All Adelaide SA
5075;All Adelaide SA
5076;All Adelaide SA
5081;All Adelaide SA
5082;All Adelaide SA
5083;All Adelaide SA
5084;All Adelaide SA
5085;All Adelaide SA
5086;All Adelaide SA
5087;All Adelaide SA
5088;All Adelaide SA
5089;All Adelaide SA
5090;All Adelaide SA
5091;All Adelaide SA
5092;All Adelaide SA
5093;All Adelaide SA
5094;All Adelaide SA
5095;All Adelaide SA
5096;All Adelaide SA
5097;All Adelaide SA
