locationWhereValue;standardPostcode
Sydney CBD, Inner West & Eastern Suburbs Sydney NSW;2000
North Shore & Northern Beaches Sydney NSW;2060
North West & Hills District Sydney NSW;2077
Gosford & Central Coast NSW;2083
Ryde & Macquarie Park Sydney NSW;2112
Parramatta & Western Suburbs Sydney NSW;2116
Southern Suburbs & Sutherland Shire Sydney NSW;2133
South West & M5 Corridor Sydney NSW;2162
Newcastle, Maitland & Hunter NSW;2264
Tamworth & North West NSW;2338
Dubbo & Central NSW;2357
Far West & North Central NSW;2386
Port Macquarie & Mid North Coast NSW;2424
Coffs Harbour & North Coast NSW;2441
Lismore & Far North Coast NSW;2469
Wollongong, Illawarra & South Coast NSW;2500
Goulburn & Southern Tablelands NSW;2575
Wagga Wagga & Riverina NSW;2590
All Canberra ACT;2600
Tumut, Southern Highlands & Snowy NSW;2621
Albury Wodonga & Murray NSW;2640
Richmond & Hawkesbury NSW;2753
Blue Mountains & Central West NSW;2773
Melbourne CBD & Inner Suburbs Melbourne VIC;3000
Western Suburbs Melbourne VIC;3011
Northern Suburbs Melbourne VIC;3043
Eastern Suburbs Melbourne VIC;3101
Yarra Valley & High Country VIC;3116
Bayside & South Eastern Suburbs Melbourne VIC;3145
Geelong & Great Ocean Road VIC;3212
Horsham & Grampians VIC;3293
Ballarat & Central Highlands VIC;3321
Bendigo, Goldfields & Macedon Ranges VIC;3334
Mildura & Murray VIC;3490
Shepparton & Goulburn Valley VIC;3558
Traralgon & La Trobe Valley VIC;3781
Bairnsdale & Gippsland VIC;3847
Mornington Peninsula & Bass Coast VIC;3911
Brisbane CBD & Inner Suburbs Brisbane QLD;4000
Northern Suburbs Brisbane QLD;4019
Southern Suburbs & Logan Brisbane QLD;4114
Bayside & Eastern Suburbs Brisbane QLD;4157
All Gold Coast QLD;4207
Western Suburbs & Ipswich Brisbane QLD;4300
Somerset & Lockyer QLD;4311
Toowoomba & Darling Downs QLD;4350
Mt Isa & Western QLD;4417
Gladstone & Central QLD;4420
Sunshine Coast QLD;4517
Hervey Bay & Fraser Coast QLD;4570
Bundaberg & Wide Bay Burnett QLD;4621
Rockhampton & Capricorn Coast QLD;4699
Mackay & Coalfields QLD;4705
Townsville & Northern QLD;4800
Cairns & Far North QLD;4849
All Adelaide SA;5000
Adelaide Hills & Barossa SA;5131
Fleurieu Peninsula & Kangaroo Island SA;5157
Riverland & Murray Mallee SA;5236
Mt Gambier & Limestone Coast SA;5259
Yorke Peninsula & Clare Valley SA;5374
Coober Pedy & Outback SA;5440
Whyalla & Eyre Peninsula SA;5600
Perth CBD, Inner & Western Suburbs Perth WA;6000
Northern Suburbs & Joondalup Perth WA;6017
Northam & Wheatbelt WA;6041
Eastern Suburbs Perth WA;6051
Fremantle & Southern Suburbs Perth WA;6102
Mandurah & Peel WA;6121
Rockingham & Kwinana Perth WA;6165
Bunbury & South West WA;6218
Albany & Great Southern WA;6316
Kalgoorlie, Goldfields & Esperance WA;6429
Geraldton, Gascoyne & Midwest WA;6513
Port Hedland, Karratha & Pilbara WA;6710
Broome & Kimberley WA;6725
All Hobart TAS;7000
Central & South East TAS;7027
Launceston & North East TAS;7190
Devonport & North West TAS;7256
